"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g092260","cellular protein modification proce...",0.00884282373403085,"GO:0001933","negative regulation of protein phosphorylation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"2","PGEN_.00g092260","anatomical structure development",0.00412195883849827,"GO:0001942","hair follicle development","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"3","PGEN_.00g092260","vesicle-mediated transport",0.00401720454560529,"GO:0002576","platelet degranulation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"4","PGEN_.00g092260","transport",0.00401720454560529,"GO:0002576","platelet degranulation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"5","PGEN_.00g092260","cell population proliferation",0.00490905370036893,"GO:0010839","negative regulation of keratinocyte proliferation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"6","PGEN_.00g092260","signal transduction",0.00569787991398525,"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"7","PGEN_.00g092260","cell differentiation",0.00196895178597566,"GO:0045616","regulation of keratinocyte differentiation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"8","PGEN_.00g092260","anatomical structure development",0.00196895178597566,"GO:0045616","regulation of keratinocyte differentiation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"9","PGEN_.00g092260","response to stress",0.00192995177556855,"GO:0061045","negative regulation of wound healing","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"10","PGEN_.00g092260","immune system process",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"11","PGEN_.00g092260","cell differentiation",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"12","PGEN_.00g092260","anatomical structure development",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"13","PGEN_.00g092260","anatomical structure formation invo...",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"14","PGEN_.00g092270","cellular protein modification proce...",0.00884282373403085,"GO:0001933","negative regulation of protein phosphorylation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"15","PGEN_.00g092270","anatomical structure development",0.00412195883849827,"GO:0001942","hair follicle development","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"16","PGEN_.00g092270","vesicle-mediated transport",0.00401720454560529,"GO:0002576","platelet degranulation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"17","PGEN_.00g092270","transport",0.00401720454560529,"GO:0002576","platelet degranulation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"18","PGEN_.00g092270","cell population proliferation",0.00490905370036893,"GO:0010839","negative regulation of keratinocyte proliferation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"19","PGEN_.00g092270","signal transduction",0.00569787991398525,"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"20","PGEN_.00g092270","cell differentiation",0.00196895178597566,"GO:0045616","regulation of keratinocyte differentiation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"21","PGEN_.00g092270","anatomical structure development",0.00196895178597566,"GO:0045616","regulation of keratinocyte differentiation","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"22","PGEN_.00g092270","response to stress",0.00192995177556855,"GO:0061045","negative regulation of wound healing","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"23","PGEN_.00g092270","immune system process",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"24","PGEN_.00g092270","cell differentiation",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"25","PGEN_.00g092270","anatomical structure development",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"26","PGEN_.00g092270","anatomical structure formation invo...",0.00151839165279583,"GO:0072675","osteoclast fusion","BP","Day7","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
