"","MEbrown","MEblue","MEgreen","MEturquoise","MEyellow"
"SG15",-0.123094269399238,-0.0296057693503639,-0.0775186444028432,0.160169045493822,-0.160130333383679
"SG93",0.0114079383865957,0.0166643943959194,-0.102213168303242,0.120145957392587,-0.23230008692375
"SG102",-0.209140812903554,-0.0714764415155315,0.0367818736101267,0.123946120720785,-0.0625818809072981
"SG2",0.0323610364335522,-0.101401014672667,-0.133999358487699,0.124111293394872,-0.0613345558754574
"SG10",0.251728083059952,-0.0497218472589873,0.0526047342077599,0.0671593990231732,-0.0726372886316665
"SG9",0.146116407300535,0.305881000451316,0.0856822068969451,-0.250008885842142,-0.146055374341334
"SG118",0.047355948814115,-0.13342621642833,-0.104577294225759,0.116080149782296,0.13270648220973
"SG81",-0.106604451289815,-0.162060930967416,0.051125475526351,-0.0219516856800785,0.307229745983735
"SG5",-0.142952834045273,0.0609605088520587,0.397453710089872,-0.406580604082636,0.168248055531578
"SG101",0.0370666572869965,0.239054619151467,0.121201516128329,-0.00368115574245099,-0.091441115727362
"SG65",0.0436939912849383,-0.125267140531893,-0.0612084180833793,0.139756097356481,-0.129506053166961
"SG107",-0.0524306739236678,-0.130521933992183,-0.327898460286704,-0.00524628071424261,0.213605622602737
"SG109",0.0407307645350576,-0.047832385289855,0.363868612463844,-0.0920009190936248,0.20057698222015
"SG3",-0.116561889988301,0.273345082778933,-0.306811416965709,-0.312470128719891,0.0521276238778313
"SG66",-0.128996032444479,0.197528760798306,-0.200189448041299,0.0393324107163739,0.0478115623658939
"SG12",0.18977268926112,-0.0461175805157542,-0.039032023099477,0.148263147930966,-0.108911959925091
"SG27",0.134158623967344,0.447647457482548,0.379062628842857,-0.266122988517443,-0.274004731287843
"SG6",-0.127536752053051,0.0601648836882542,0.234146703051794,-0.37119165807719,0.252251701191974
"SG91",-0.0280227260729717,-0.0832823148097919,-0.0624716822825767,0.105354123558653,-0.133020532703699
"SG82",-0.120261846171515,-0.0946310016370557,0.0497178525827437,0.117919781405881,0.128649999504063
"SG11",0.491599637882675,0.205920163737675,0.247882126758242,-0.032552395059953,-0.25196938705464
"SG16",-0.0393306480398626,-0.0359243319104254,-0.0526633440685082,0.0592100027724742,-0.0410684333587759
"SG131",-0.283410770803758,-0.245651523245849,-0.00929209707394944,0.0398968605497942,0.289939337117264
"SG79",0.026999077935913,-0.166115453864856,-0.00966987229127111,0.134241721632281,0.256624494512638
"SG1",0.0406080519305986,0.108436924372346,-0.095883395274193,-0.0518949517283617,-0.0666759682867181
"SG64",-0.145475052892438,0.115613950541147,-0.24649723263346,0.00733611216439166,-0.139325842005311
"SG4",-0.0150928548616732,-0.0993049657002998,0.00789687765436628,0.143593799216429,-0.0813964952528882
"SG13",-0.13046087411922,0.328173299035287,0.111008501198498,-0.429003512170813,-0.0511166989040716
"SG14",-0.0249844380415744,-0.0871555071663303,-0.00646231847500121,0.101158250303621,-0.161294992454567
"SG46",0.0641413124698071,-0.0943886758489052,-0.102543449964477,0.159172906516765,-0.151597635933018
"SG108",-0.105714948866277,-0.132227909918749,-0.061764649165364,0.0601645515331824,0.0982407246282649
"SG78",-0.078061378505664,-0.214367628871309,-0.12164277564709,0.109407673136426,0.223896668591019
"SG7",0.520522385392984,0.092871684777201,0.0642330196815492,-0.00280890055202821,-0.122236528122556
"SG80",-0.183172804469151,-0.191458990080093,-0.0265167360910103,0.0458094955187192,0.255368242241779
"SG8",0.0830434529492987,-0.110323166485814,-0.0538100538302668,0.123285165860883,-0.0886713483319695
